cell,rawvalue,finPhase
839,9.05,367
840,8.5,367
919,9.25,367
920,9.05,367
921,9.4,367
922,9.3,367
923,9.05,367
924,8.95,367
9319,9.7,367
9320,9.7,367
9321,9.75,367
9322,9.8,367
9381,9.9,367
9383,9.75,367
9384,9.75,367
9385,9.8,367
9386,9.7,367
9387,9.7,367
9388,9.25,367
9436,9.9,367
9437,9.9,367
9438,9.95,367
9439,9.95,367
9440,9.9,367
9441,10.05,367
9442,9.95,367
9443,9.85,367
9444,8.85,367
9445,8.85,367
9484,9,367
9485,9.95,367
9486,9.95,367
9487,9.95,367
9488,9.95,367
9489,10.45,367
9490,10.25,367
9491,10.4,367
9492,9.45,367
9493,9.3,367
9525,7.2,367
9526,9,367
9527,7.550000000000001,367
9528,9.25,367
9529,7.95,367
9530,6.75,367
9531,8.05,367
9532,8.95,367
9533,10.15,367
9534,10.1,367
9535,10.05,367
9569,5,367
9570,6.15,367
9571,5.35,367
9572,8.4,367
9573,7.1,367
9574,5.8,367
9575,6.85,367
9576,9.15,367
9577,6.300000000000001,367
9578,6.1,367
9579,7.300000000000001,367
9611,2.5,367
9613,3.95,367
9614,6,367
9615,6.050000000000001,367
9616,4.6,367
9617,6.699999999999999,367
9618,7.05,367
9619,7.85,367
9620,6.6,367
9621,5.05,367
9658,4,367
9659,4.25,367
9660,4.7,367
9661,5.1,367
9662,6.65,367
9663,5.75,367
9664,5,367
9665,7.1,367
9690,2.25,367
9691,2.35,367
9692,2.6,367
9693,3.4,367
9694,4.35,367
9695,3.6,367
1819,10.45,367
1820,10.4,367
1942,10.75,367
1943,10.6,367
1944,10.55,367
1945,9.85,367
2060,10.8,367
2061,11,367
2062,10.35,367
2064,10.85,367
2065,10.8,367
2066,10.75,367
2067,10.7,367
2068,10.6,367
2069,10.55,367
2070,10.8,367
2071,10.5,367
2182,10.95,367
2183,10.7,367
2184,10.75,367
2185,10.7,367
2186,10.85,367
2187,10.5,367
2188,10.5,367
2189,10.35,367
2190,10.6,367
2191,10.6,367
2192,10.9,367
2193,10.45,367
2304,10.7,367
2305,10.55,367
2306,10.5,367
2307,10.45,367
2308,10.55,367
2309,10.7,367
2310,10.3,367
2311,10.35,367
2312,10.6,367
2313,10.85,367
2314,10.8,367
2315,10.65,367
2316,10.05,367
2427,10.55,367
2428,10.35,367
2429,10.55,367
2430,10.1,367
2431,10.6,367
2432,10.7,367
2433,10.5,367
2434,10.8,367
2435,10.55,367
2436,10.5,367
2437,10.2,367
2438,10,367
2555,10.55,367
2556,10.35,367
2557,10.2,367
2558,10.35,367
2559,10.6,367
2560,10.8,367
2561,10.75,367
2562,10.5,367
2563,10.05,367
2564,10.1,367
2565,10.3,367
2685,10.2,367
2686,10.05,367
2687,9.85,367
2688,10.3,367
2689,10.75,367
2690,10.75,367
2691,10.5,367
2692,10.25,367
2693,9.9,367
2694,9.8,367
2695,9.95,367
2814,10.5,367
2815,10.65,367
2816,10.55,367
2817,10.4,367
2818,10.35,367
2819,10.35,367
2820,9.95,367
2821,9.55,367
2945,10.8,367
2946,10.65,367
2947,10.3,367
2948,10.05,367
2949,10.1,367
2950,10.15,367
2951,9.9,367
3079,10.2,367
3080,10,367
9104,7.9,367
9106,7.75,367
9179,9.1,367
9180,9.05,367
9181,9.05,367
9182,9,367
9183,8.95,367
9184,8.9,367
9185,8.95,367
9186,8.95,367
9255,9.05,367
9256,9.05,367
9257,9,367
9258,9.05,367
9259,9,367
9260,9.05,367
9261,9,367
9262,9.05,367
9263,9.05,367
9264,9.1,367
9265,9.1,367
9267,9.1,367
9268,9.05,367
9323,9.05,367
9324,9.15,367
9325,9.05,367
9326,9.05,367
9327,9.05,367
9328,9,367
9329,9,367
9330,9.05,367
9331,9.1,367
9332,9.1,367
9333,9.1,367
9334,9.1,367
9335,10.35,367
9336,10.3,367
9337,10.25,367
9389,9.35,367
